1000 5000
654 114 1
759 281 4
228 142 2
692 758 9
89 604 7
32 30 2
223 238 9
616 27 9
203 733 9
429 225 8
603 284 1
777 825 3
714 432 6
284 159 4
980 781 6
104 94 7
99 367 6
618 270 1
747 470 9
127 996 7
80 565 5
849 643 10
906 882 6
591 196 2
46 677 4
791 296 2
875 238 2
389 284 8
650 854 6
166 379 6
214 686 5
718 959 2
623 650 3
546 746 4
167 473 7
276 947 9
224 701 6
863 786 1
234 841 1
824 323 7
274 67 4
935 965 10
897 735 6
217 671 8
405 905 8
146 271 3
252 762 9
551 269 10
438 919 10
408 370 4
141 521 8
93 773 1
881 112 3
642 163 7
610 65 7
390 610 8
541 257 9
881 965 1
696 738 2
698 906 9
768 273 6
114 300 7
161 464 1
976 739 5
995 512 3
519 934 2
891 640 5
861 654 9
623 203 3
382 780 3
552 976 9
940 0 10
331 500 1
114 951 6
899 851 5
245 59 4
899 580 2
87 749 8
835 70 9
784 128 3
675 486 9
169 271 9
893 621 7
987 216 9
773 747 4
730 319 7
687 665 6
448 921 9
462 123 4
230 65 6
21 602 9
235 602 4
7 72 1
234 69 1
880 338 2
526 243 5
685 497 4
552 135 10
590 484 4
803 484 7
194 96 2
674 441 6
433 420 8
884 746 1
689 669 2
62 412 6
819 882 2
254 196 4
549 459 3
432 187 5
473 255 2
453 827 9
100 51 9
856 15 2
948 771 4
170 416 8
492 218 7
924 60 3
388 2 7
271 948 8
292 433 9
677 735 8
158 194 5
222 991 1
593 753 9
62 765 6
58 51 10
488 514 9
161 58 9
82 871 3
70 609 2
691 882 4
413 122 10
252 592 10
40 634 2
429 673 10
578 535 6
957 267 4
685 733 6
244 271 7
134 687 5
468 323 2
9 469 10
576 102 2
550 218 9
271 135 6
902 70 4
378 291 3
448 853 9
720 309 10
826 669 9
8 683 9
306 954 2
961 899 3
270 118 2
760 566 3
278 288 10
215 734 6
208 703 5
517 500 5
927 929 1
94 649 7
849 283 1
3 341 3
652 268 3
759 452 9
722 437 9
9 114 2
967 904 3
558 36 6
596 565 3
440 130 1
315 373 1
920 366 4
698 255 2
362 798 9
905 895 7
997 635 3
947 952 4
885 166 3
902 422 1
183 754 6
801 953 7
821 685 4
273 163 2
391 893 1
879 481 4
204 836 8
358 312 4
228 24 4
408 336 5
885 71 5
359 656 9
409 695 9
339 961 1
118 898 5
182 594 5
39 111 10
444 353 6
446 620 9
118 394 10
194 260 1
725 446 1
532 947 9
703 736 4
372 441 2
971 680 6
638 321 2
737 921 5
519 316 7
334 412 5
567 130 4
430 680 7
693 766 3
630 582 5
415 561 1
311 293 4
440 804 10
621 670 6
476 452 8
691 218 9
484 812 3
674 86 5
527 679 10
343 95 4
688 317 4
825 203 3
25 47 4
486 625 2
466 424 10
199 735 7
506 409 4
151 671 1
914 768 2
797 435 4
180 823 9
475 51 9
255 939 2
467 136 8
683 543 9
609 324 8
627 834 9
436 850 9
456 918 3
761 882 8
460 265 4
