50000 200000
36759 39133 4
5099 47364 10
40403 9477 6
43520 48126 6
929 9863 8
9665 32731 6
7445 44167 7
17223 34124 1
29527 8239 8
41872 37904 2
2391 14327 4
27536 45642 9
10885 39383 7
14164 22812 4
12527 44540 10
941 24265 6
1061 19788 5
32904 8175 8
42527 29884 7
26895 23050 6
35551 27908 9
22008 7430 3
30069 28074 6
11593 36225 10
10659 35570 7
25006 18679 7
41556 18562 10
6502 5742 2
5874 42573 1
40387 26953 2
32532 49148 10
35699 6534 8
32988 38091 1
43759 18999 7
13885 14606 8
36148 24974 2
12816 30774 2
22977 30405 7
42261 46126 7
498 24552 4
33263 18586 5
43167 17334 5
27178 44125 4
272 27168 1
1017 1720 3
24537 34010 10
20805 21960 3
37498 28181 4
36420 25648 4
40387 42233 7
3380 37870 7
8445 41698 7
47717 11384 7
20848 33900 3
28665 15136 2
46532 8279 9
7757 41382 10
25690 49949 5
36235 10423 6
13353 6111 2
1680 28666 1
41215 38881 3
1823 40507 9
5162 37473 7
1657 48649 3
29734 41580 6
12226 15710 4
19459 12702 9
16072 47599 7
17070 43205 1
18020 5437 3
41119 1516 10
6777 7270 8
39052 8040 2
9295 18511 5
11837 6080 2
32390 23684 4
25611 6597 8
1438 27115 2
31884 41004 2
13781 45045 7
24592 20551 8
10558 11783 5
664 11709 10
41367 39757 1
7681 22466 6
31713 40239 10
35814 328 3
34193 48607 5
7968 12638 10
1936 35124 1
33947 33537 3
14175 23913 2
14218 1933 6
9080 14402 2
47693 45324 3
17536 17935 8
13057 6027 6
46404 36142 5
30608 48837 8
28577 33597 7
12652 16390 3
12968 45026 5
25744 6743 10
38507 20420 3
13489 47320 8
28407 29239 7
39081 48960 5
20889 40823 2
39799 25103 7
13088 37168 6
24507 41464 2
29452 10960 1
33512 16584 10
26857 19233 10
42277 34766 6
26103 1962 2
11790 21147 7
12184 23445 4
4760 14102 6
24377 9505 6
8015 631 6
45107 714 6
14009 30498 10
21073 15246 9
4340 25270 5
39439 13905 9
14251 6744 9
18222 46941 10
43997 4903 10
42353 27639 7
20826 20979 4
12918 3254 8
32679 3066 5
27606 7815 2
29673 11215 10
21422 38742 7
15494 37775 1
18680 1168 10
304 30262 5
8589 26398 1
34961 34571 1
22111 42256 1
4551 30794 2
27202 47399 5
18001 20787 6
26236 5227 9
20524 32362 10
3084 25777 5
45643 29791 8
42014 7956 6
40499 6733 1
14681 3134 1
9092 6890 6
45062 47464 7
14833 11153 2
12527 47455 6
35229 323 1
17018 2823 2
3145 19941 2
17283 21582 10
24874 17688 3
9028 38237 8
7857 8276 6
9699 49350 10
27085 41740 8
43793 8019 9
34576 15762 10
31321 43336 8
18385 21096 8
14800 6016 5
19414 46621 2
23134 36602 4
43219 42410 4
45545 5112 2
32414 3949 4
860 43941 4
30680 25235 4
31958 6850 6
13674 38700 9
33680 20536 5
46433 29754 3
33063 6924 3
14338 23831 7
29650 40663 9
13305 26227 4
4498 18208 7
10760 44975 5
37830 42492 2
9652 30209 2
48826 7222 4
1087 30202 3
17482 1873 8
43377 34792 8
23065 17404 2
36064 5509 6
28277 13897 3
26013 32911 7
33287 21871 1
28923 17864 6
6410 3220 7
47972 27694 4
19267 12415 7
11576 38931 5
34705 39809 8
33988 28414 2
44640 3268 4
7279 14390 2
3482 2338 10
17444 15647 2
34873 6621 5
14841 40646 7
25684 25748 2
14410 48098 5
32451 13481 3
13341 22782 5
46258 39079 5
48095 203 2
12129 32980 10
31244 48437 5
45084 15638 3
20651 44659 2
10921 12277 6
29833 9295 1
43649 31103 7
21892 1364 3
17290 5044 3
44512 49824 1
38928 23078 8
38217 65 8
16220 30970 2
2960 1139 10
44567 19048 4
34424 32974 3
49479 9606 2
6553 19962 6
29662 32156 6
35763 16865 8
16615 23874 8
888 23109 5
46540 21871 9
43511 39042 8
7389 17690 9
47724 41929 1
9692 26890 4
43212 9282 6
32625 2025 4
37852 48562 7
23554 13520 2
12703 24758 2
17951 41083 9
29443 34531 3
17387 44503 6
21705 25626 10
27347 18104 5
12489 2693 10
34083 45995 6
40132 8058 7
29820 37136 6
18901 7221 1
32697 44926 3
30560 44624 3
34287 18991 10
36578 43536 3
19899 31904 5
4234 19315 1
29744 2683 4
18547 38867 2
3486 32005 5
333 28201 6
43270 42 1
16477 9025 6
18564 32898 9
10160 5636 5
9348 48041 4
28314 38353 2
19058 14343 1
31010 23241 4
44466 41749 7
27693 26156 2
17121 19793 10
20364 11357 10
28561 44493 6
37890 9121 4
16385 8892 7
36325 13075 5
19988 5609 5
37136 41177 8
35771 12017 7
28632 6294 3
34509 28960 6
33018 44902 6
30695 23212 7
30575 27558 7
30230 1813 9
1731 27585 2
49535 9213 10
19817 15902 10
33567 24452 3
40690 35603 10
19224 3508 7
8253 26407 1
30330 33948 8
3561 5548 1
17706 42590 2
21855 38950 2
19043 37056 8
45258 21712 1
7958 48527 10
44198 33477 1
45978 13439 9
9447 36834 8
8939 14650 3
19719 41172 5
47129 422 8
40872 45074 4
7517 4400 1
10028 39570 2
34067 6348 4
13388 6789 8
1615 33148 8
25605 3647 2
19655 26513 8
12061 15396 9
17057 40157 8
43133 40446 2
28334 9584 1
12111 9285 4
11191 33522 9
13130 31205 8
19007 18969 2
38585 32306 6
43758 18034 7
25285 45721 2
30406 27321 7
9710 1833 5
29955 7872 10
25521 722 10
19841 2233 10
29129 2793 6
9129 30664 8
18147 597 3
23445 32809 9
13813 22861 9
25599 33622 2
11435 42986 3
23059 42987 10
22235 30112 3
18241 49978 5
25816 4470 8
24675 30916 10
43186 11821 10
46432 33225 9
16988 8481 6
38591 38058 6
38305 40466 7
4428 2944 1
48029 10431 4
6326 43598 2
32730 44520 8
21211 49801 4
48014 15506 2
11403 47720 7
49533 27528 2
4058 40101 5
7502 2452 2
28936 24531 10
41372 1930 3
21047 7055 8
24748 8730 10
36468 13089 4
16547 32184 8
44489 18749 4
13185 48637 3
28446 34637 4
5637 38149 1
41229 43821 2
13339 2178 3
343 23564 7
37243 35820 2
22328 12144 9
32517 12460 4
37379 31046 9
23075 23362 10
36614 9035 2
28762 28017 7
4644 37299 2
8335 33898 5
6613 7728 8
15110 3373 10
35424 21687 1
14681 18998 5
25586 46089 6
4453 10345 5
4900 35023 10
15820 33931 10
32771 20462 7
